#fusion	count_of_samples	%ofSamples
KRT13--RAPGEFL1	1	0.03
KRT13--RANGAP1	1	0.03
KRT13--RALA	1	0.03
KRT13--RAI1	1	0.03
KRT13--RAD21	1	0.03
KRT13--RAC1	1	0.03
KRT13--RAB21	1	0.03
KRT13--RAB1B	1	0.03
KRT13--RAB11A	1	0.03
KRT13--PVRL2	1	0.03
KRT13--PTBP1	1	0.03
KRT13--PSPC1	1	0.03
KRT13--PSMC3	1	0.03
KRT13--PRSS1	1	0.03
KRT13--PRRC2B	1	0.03
KRT13--PRRC2A	1	0.03
KRT13--PRKG1	1	0.03
KRT13--PRB4	1	0.03
KRT13--PPP6R1	1	0.03
KRT13--PPP1CC	1	0.03
KRT13--PPIF	1	0.03
KRT13--POLR2J3	1	0.03
KRT13--POLR2E	1	0.03
KRT13--POLA1	1	0.03
KRT13--PLD2	1	0.03
KRT13--PIP	1	0.03
KRT13--PINK1	1	0.03
KRT13--PIEZO1	1	0.03
KRT13--PID1	1	0.03
KRT13--PIAS4	1	0.03
KRT13--PI4KA	1	0.03
KRT13--PGC	1	0.03
KRT13--PGAM1	1	0.03
KRT13--PFKL	1	0.03
KRT13--PES1	1	0.03
KRT13--PER1	1	0.03
KRT13--PDZK1IP1	1	0.03
KRT13--PDCD4	1	0.03
KRT13--PCDH1	1	0.03
KRT13--PCBP2	1	0.03
KRT13--PANK3	1	0.03
KRT13--OLFM4	1	0.03
KRT13--NPTN	1	0.03
KRT13--NPEPPS	1	0.03
KRT13--NOL6	1	0.03
KRT13--NME1-NME2|NME2	1	0.03
KRT13--NLRX1	1	0.03
KRT13--NDUFS7	1	0.03
KRT13--NCSTN	1	0.03
KRT13--NCOR2	1	0.03
KRT13--NCOA4	1	0.03
KRT13--NCKAP5	1	0.03
KRT13--NAMPT	1	0.03
KRT13--NACA	1	0.03
KRT13--MYO9B	1	0.03
KRT13--MYO1D	1	0.03
KRT13--MYO1C	1	0.03
KRT13--MYL12B	1	0.03
KRT13--MYH6	1	0.03
KRT13--MYH1	1	0.03
KRT13--MYADM	1	0.03
KRT13--MUC7	1	0.03
KRT13--MUC22	1	0.03
KRT13--MTA2	1	0.03
KRT13--MMP2	1	0.03
KRT13--MLLT6	1	0.03
KRT13--MLLT4	1	0.03
KRT13--MIF	1	0.03
KRT13--MGAT1	1	0.03
KRT13--MFN2	1	0.03
KRT13--METRNL	1	0.03
KRT13--MBTPS1	1	0.03
KRT13--MAST4	1	0.03
KRT13--MAPK3	1	0.03
KRT13--MAPK13	1	0.03
KRT13--LY6E	1	0.03
KRT13--LTBR	1	0.03
KRT13--LTB4R	1	0.03
KRT13--LRG1	1	0.03
KRT13--LGALS7B	1	0.03
KRT13--LGALS3BP	1	0.03
KRT13--LDLRAD2|HSPG2	1	0.03
KRT13--LDLR	1	0.03
KRT13--LCN1	1	0.03
KRT13--LAMB3	1	0.03
KRT13--L3MBTL3	1	0.03
KRT13--KRTDAP	1	0.03
KRT13--KREMEN1	1	0.03
KRT13--KPNB1	1	0.03
KRT13--KLK6	1	0.03
KRT13--KLK12	1	0.03
KRT13--KLK11	1	0.03
KRT13--KLHL41	1	0.03
KRT13--KIAA1671	1	0.03
KRT13--KIAA1522	1	0.03
KRT13--KIAA1217	1	0.03
KRT13--KIAA1147	1	0.03
KRT13--KIAA0368	1	0.03
KRT13--KHSRP	1	0.03
KRT13--KAZN	1	0.03
KRT13--KANK1	1	0.03
KRT13--JUND	1	0.03
KRT13--JARID2	1	0.03
KRT13--ITGB4|GALK1	1	0.03
KRT13--IRF6	1	0.03
KRT13--IMPDH2	1	0.03
KRT13--IL36A	1	0.03
KRT13--IGSF3	1	0.03
KRT13--IGLL5	1	0.03
KRT13--IGJ	1	0.03
KRT13--IGFBP6	1	0.03
KRT13--IFT172	1	0.03
KRT13--IFI27	1	0.03
KRT13--IFFO2	1	0.03
KRT13--IER3	1	0.03
KRT13--IDH2	1	0.03
KRT13--HSPB8	1	0.03
KRT13--HSPA9	1	0.03
KRT13--HNRNPM	1	0.03
KRT13--HNRNPH2	1	0.03
KRT13--HNRNPH1	1	0.03
KRT13--HNRNPA0	1	0.03
KRT13--HMGA1	1	0.03
KRT13--HM13	1	0.03
KRT13--HK2	1	0.03
KRT13--HIF1A	1	0.03
KRT13--HGSNAT	1	0.03
KRT13--HECTD1	1	0.03
KRT13--HBA2	1	0.03
KRT13--HAS3	1	0.03
KRT13--HADHA	1	0.03
KRT13--GUK1	1	0.03
KRT13--GPT2	1	0.03
KRT13--GPRC5A	1	0.03
KRT13--GPI	1	0.03
KRT13--GPC1	1	0.03
KRT13--GOT2	1	0.03
KRT13--GOLGA3	1	0.03
KRT13--GNAI3	1	0.03
KRT13--GNAI2	1	0.03
KRT13--GNA15	1	0.03
KRT13--GLTSCR2	1	0.03
KRT13--GJB6	1	0.03
KRT13--GJB3	1	0.03
KRT13--GHITM	1	0.03
KRT13--GDI2	1	0.03
KRT13--GCDH	1	0.03
KRT13--GAREM	1	0.03
KRT13--GALNT1	1	0.03
KRT13--FXYD3	1	0.03
KRT13--FUT5|NDUFA11	1	0.03
KRT13--FTL	1	0.03
KRT13--FSTL1	1	0.03
KRT13--FMO2	1	0.03
KRT13--FLOT2	1	0.03
KRT13--FLII	1	0.03
KRT13--FKBP4	1	0.03
KRT13--FHL1	1	0.03
KRT13--FDPS	1	0.03
KRT13--FCGBP	1	0.03
KRT13--FBRSL1	1	0.03
KRT13--FAM46B	1	0.03
KRT13--FAM3D	1	0.03
KRT13--FABP5	1	0.03
KRT13--F3	1	0.03
KRT13--ETS2	1	0.03
KRT13--ETFB	1	0.03
KRT13--ETF1	1	0.03
KRT13--ESRP2	1	0.03
KRT13--EPHA1	1	0.03
KRT13--EPB41L1	1	0.03
KRT13--EPAS1	1	0.03
KRT13--EP300	1	0.03
KRT13--ENSA	1	0.03
KRT13--ELK1	1	0.03
KRT13--EIF5A	1	0.03
KRT13--EIF5	1	0.03
KRT13--EIF4B	1	0.03
KRT13--EIF3K	1	0.03
KRT13--DYNC1H1	1	0.03
KRT13--DUSP5	1	0.03
KRT13--DRAP1	1	0.03
KRT13--DNAJC5	1	0.03
KRT13--DNAJB6	1	0.03
KRT13--DMBT1	1	0.03
KRT13--DLG2	1	0.03
KRT13--DHRS3	1	0.03
KRT13--DDX5	1	0.03
KRT13--DDX26B	1	0.03
KRT13--DDX21	1	0.03
KRT13--DCN	1	0.03
KRT13--DAG1	1	0.03
KRT13--CYTH1	1	0.03
KRT13--CYC1	1	0.03
KRT13--CTSZ	1	0.03
KRT13--CTNNBIP1	1	0.03
KRT13--CTC-203F4.1|H2AFY	1	0.03
KRT13--CSMD1	1	0.03
KRT13--CS	1	0.03
KRT13--CRISP3	1	0.03
KRT13--CRIP2	1	0.03
KRT13--CPA4	1	0.03
KRT13--COX7B	1	0.03
KRT13--CORO1B	1	0.03
KRT13--COPZ1	1	0.03
KRT13--COL7A1	1	0.03
KRT13--COL3A1	1	0.03
KRT13--COG4	1	0.03
KRT13--CNPPD1	1	0.03
KRT13--CNOT6L	1	0.03
KRT13--CNN2	1	0.03
KRT13--CNN1	1	0.03
KRT13--CNDP2	1	0.03
KRT13--CMYA5	1	0.03
KRT13--CMIP	1	0.03
KRT13--CLUH	1	0.03
KRT13--CLIC4	1	0.03
KRT13--CLIC1	1	0.03
KRT13--CLDN1	1	0.03
KRT13--CIRBP	1	0.03
KRT13--CHMP4B	1	0.03
KRT13--CHD3	1	0.03
KRT13--CFD	1	0.03
KRT13--CEP170B	1	0.03
KRT13--CDK5RAP3	1	0.03
KRT13--CDC42BPB	1	0.03
KRT13--CDC25B	1	0.03
KRT13--CD81	1	0.03
KRT13--CD59	1	0.03
KRT13--CD47	1	0.03
KRT13--CD2BP2	1	0.03
KRT13--CCT3	1	0.03
KRT13--CBLB	1	0.03
KRT13--CAST	1	0.03
KRT13--CARHSP1	1	0.03
KRT13--CAPRIN1	1	0.03
KRT13--CAPN5	1	0.03
KRT13--CAPN14	1	0.03
KRT13--CAP1	1	0.03
KRT13--CAMK2N1	1	0.03
KRT13--CAMK2D	1	0.03
KRT13--CALML5	1	0.03
KRT13--C9orf3	1	0.03
KRT13--C6orf47	1	0.03
KRT13--C5orf34	1	0.03
KRT13--BTG2	1	0.03
KRT13--BTF3	1	0.03
KRT13--BPIFA2	1	0.03
KRT13--BLVRB	1	0.03
KRT13--BCL9L	1	0.03
KRT13--BCL3	1	0.03
KRT13--BCAP31	1	0.03
KRT13--BARX2	1	0.03
KRT13--BAG6	1	0.03
KRT13--B4GALT5	1	0.03
KRT13--AZGP1	1	0.03
KRT13--ATP6V0C	1	0.03
KRT13--ATP6AP1	1	0.03
KRT13--ATP5G3	1	0.03
KRT13--ATP2A1	1	0.03
KRT13--ATP1A2	1	0.03
KRT13--ATP12A	1	0.03
KRT13--ARHGEF10L	1	0.03
KRT13--ARHGAP27	1	0.03
KRT13--ARF6	1	0.03
KRT13--ARF3	1	0.03
KRT13--APP	1	0.03
KRT13--AP1B1	1	0.03
KRT13--ANXA6	1	0.03
KRT13--ANKRD35	1	0.03
KRT13--ANKRD11	1	0.03
KRT13--ALDH1A3	1	0.03
KRT13--ALDH1A1	1	0.03
KRT13--AKR1B10	1	0.03
KRT13--AKAP13	1	0.03
KRT13--AIM1	1	0.03
KRT13--AIF1L	1	0.03
KRT13--ADRM1	1	0.03
KRT13--ADRBK1	1	0.03
KRT13--ADH7	1	0.03
KRT13--ADD1	1	0.03
KRT13--ADAM33	1	0.03
KRT13--ACTR3	1	0.03
KRT13--ACTC1	1	0.03
KRT13--ACAP3	1	0.03
KRT13--A4GALT	1	0.03
KRT13--A2M	1	0.03
KRT10--SPRR1B	1	0.03
KRT10--SDC1	1	0.03
KRT10--PDE3A	1	0.03
KRT10--KRT6C	1	0.03
KRT10--KRT6B	1	0.03
KRT10--KRT17	1	0.03
KRT10--KLF5	1	0.03
KRT10--GAPDH	1	0.03
KRT10--CALML5	1	0.03
KRT1--ZFP36	1	0.03
KRT1--XPO1	1	0.03
KRT1--UBAP2L	1	0.03
KRT1--TXNIP	1	0.03
KRT1--SPRR2G	1	0.03
KRT1--SPRR1A	1	0.03
KRT1--SLC6A9	1	0.03
KRT1--SIK1	1	0.03
KRT1--SFN	1	0.03
KRT1--SDC1	1	0.03
KRT1--SBSN	1	0.03
KRT1--S100A8	1	0.03
KRT1--S100A7	1	0.03
KRT1--RPLP1	1	0.03
KRT1--RPL35	1	0.03
KRT1--RPL13A	1	0.03
KRT1--PPL	1	0.03
KRT1--PER1	1	0.03
KRT1--NONO	1	0.03
KRT1--MMP2	1	0.03
KRT1--MFGE8	1	0.03
KRT1--LENG8	1	0.03
KRT1--LAD1	1	0.03
KRT1--KRT79	1	0.03
KRT1--KRT31	1	0.03
KRT1--JUNB	1	0.03
KRT1--HNRNPK	1	0.03
KRT1--HBA2	1	0.03
KRT1--GNB2L1	1	0.03
KRT1--GJB2	1	0.03
KRT1--DEGS1	1	0.03
KRT1--DCTN2	1	0.03
KRT1--CTSD	1	0.03
KRT1--CSTB	1	0.03
KRT1--CST6	1	0.03
KRT1--CRTC2	1	0.03
KRT1--COL1A2	1	0.03
KRT1--CAPN1	1	0.03
KRT1--CALML3	1	0.03
KRT1--AQP3	1	0.03
KRT1--ANXA2	1	0.03
KRT1--ACTB	1	0.03
KRR1|GLIPR1--SMR3B	1	0.03
KRIT1--TG	1	0.03
KREMEN1--LYZ	1	0.03
KRBOX4--ZNF674	1	0.03
KRBOX1|CYP8B1--PID1	1	0.03
KRBOX1|CYP8B1--CRP	1	0.03
KRBOX1|CYP8B1--AMBP	1	0.03
KRAS--B2M	1	0.03
KPNB1--SEMG1	1	0.03
KPNB1--HBA1	1	0.03
KPNA3--TRIM29	1	0.03
KNG1--SLC12A1	1	0.03
KNG1--GPX3	1	0.03
KNG1--FGG	1	0.03
KNG1--FGA	1	0.03
KNG1--CRP	1	0.03
KNG1--CPVL	1	0.03
KNG1--C3	1	0.03
KNG1--ATP1A1	1	0.03
KMT2D--SFTPC	1	0.03
KMT2C--GP2	1	0.03
KMT2A--SEMG1	1	0.03
KLRC2--KLRC1	1	0.03
KLRC1--KLRC2	1	0.03
KLK7--KRT5	1	0.03
KLK7--KRT4	1	0.03
KLK7--KRT14	1	0.03
KLK6--MBP	1	0.03
KLK6--KRT6A	1	0.03
KLK6--KRT4	1	0.03
KLK4--PVRL2	1	0.03
KLK4--NPY	1	0.03
KLK4--NDE1|MYH11	1	0.03
KLK3--ZFP36	1	0.03
KLK3--XRCC5	1	0.03
KLK3--TSPAN1	1	0.03
KLK3--TPI1	1	0.03
KLK3--TNS1	1	0.03
KLK3--STEAP4	1	0.03
KLK3--ST6GAL1	1	0.03
KLK3--SPON2	1	0.03
KLK3--SNRNP70	1	0.03
KLK3--SMU1	1	0.03
KLK3--SLC44A4	1	0.03
KLK3--SLC30A4	1	0.03
KLK3--SLC1A5	1	0.03
KLK3--SHROOM1	1	0.03
KLK3--SGSH	1	0.03
KLK3--SEC61A1	1	0.03
KLK3--SEC14L2	1	0.03
KLK3--SCD	1	0.03
KLK3--SCARB2	1	0.03
KLK3--RPS8	1	0.03
KLK3--RPS6	1	0.03
KLK3--RPS5	1	0.03
KLK3--RPS4X	1	0.03
KLK3--RPS3	1	0.03
KLK3--RPS23	1	0.03
KLK3--RPS18	1	0.03
KLK3--RPS11	1	0.03
KLK3--RPL35	1	0.03
KLK3--RPL19	1	0.03
KLK3--RPL18	1	0.03
KLK3--RPL15|NKIRAS1	1	0.03
KLK3--RPL13A	1	0.03
KLK3--RPL11	1	0.03
KLK3--RERE	1	0.03
KLK3--PVRL2	1	0.03
KLK3--PRRC2A	1	0.03
KLK3--PRDM2	1	0.03
KLK3--PDLIM5	1	0.03
KLK3--PDIA3	1	0.03
KLK3--PDE3A	1	0.03
KLK3--OS9	1	0.03
KLK3--ORM2	1	0.03
KLK3--OLFM4	1	0.03
KLK3--ODC1	1	0.03
KLK3--NUP214	1	0.03
KLK3--NUMA1	1	0.03
KLK3--NUCB1	1	0.03
KLK3--NFE2L1	1	0.03
KLK3--NCOA4	1	0.03
KLK3--NCAPD3	1	0.03
KLK3--MYLK	1	0.03
KLK3--MYH7	1	0.03
KLK3--MME	1	0.03
KLK3--LRMP	1	0.03
KLK3--LPP	1	0.03
KLK3--KRT15	1	0.03
KLK3--KIF1C	1	0.03
KLK3--KIAA0930	1	0.03
KLK3--KIAA0319L	1	0.03
KLK3--KDM4C	1	0.03
KLK3--JUN	1	0.03
KLK3--IGFBP7	1	0.03
KLK3--HSPA8	1	0.03
KLK3--HSP90AA1	1	0.03
KLK3--HOXB13	1	0.03
KLK3--HNRNPC	1	0.03
KLK3--HLA-A	1	0.03
KLK3--HK1	1	0.03
KLK3--HFM1	1	0.03
KLK3--GRN	1	0.03
KLK3--GLUL	1	0.03
KLK3--GBF1	1	0.03
KLK3--FOXA1	1	0.03
KLK3--FOS	1	0.03
KLK3--FKBP5	1	0.03
KLK3--FKBP4	1	0.03
KLK3--FBLN1	1	0.03
KLK3--FAM49B	1	0.03
KLK3--FADS2	1	0.03
KLK3--ERGIC1	1	0.03
KLK3--ELOVL5	1	0.03
KLK3--EIF3A	1	0.03
KLK3--EGR1	1	0.03
KLK3--DUSP1	1	0.03
KLK3--DSP	1	0.03
KLK3--DPYSL3	1	0.03
KLK3--DLG2	1	0.03
KLK3--CTNND1	1	0.03
KLK3--CPE	1	0.03
KLK3--COL6A2	1	0.03
KLK3--CLU	1	0.03
KLK3--CLIC1	1	0.03
KLK3--CD9	1	0.03
KLK3--CD81	1	0.03
KLK3--C1orf116	1	0.03
KLK3--BEST1|FTH1	1	0.03
KLK3--ARF1	1	0.03
KLK3--AQP3	1	0.03
KLK3--ALOX15B	1	0.03
KLK3--ALDOA	1	0.03
KLK3--AHNAK	1	0.03
KLK3--AES	1	0.03
KLK3--ACTN4	1	0.03
KLK2--SRRM2	1	0.03
KLK2--SLC45A3	1	0.03
KLK2--RPL13A	1	0.03
KLK2--RDH11	1	0.03
KLK2--PSMB7	1	0.03
KLK2--PHGDH	1	0.03
KLK2--PDE3A	1	0.03
KLK2--PCSK7|TAGLN	1	0.03
KLK2--P4HB	1	0.03
KLK2--ORM1	1	0.03
KLK2--NR4A1	1	0.03
KLK2--NPY	1	0.03
KLK2--NKX3-1	1	0.03
KLK2--LTF	1	0.03
KLK2--KLK4	1	0.03
KLK2--KLK1	1	0.03
KLK2--HSPA1A	1	0.03
KLK2--FASN	1	0.03
KLK2--EEF1A1	1	0.03
KLK2--CSRP1	1	0.03
KLK2--COL6A1	1	0.03
KLK2--B2M	1	0.03
KLK2--ATP5G2	1	0.03
KLK2--ACTA2	1	0.03
KLK11--KRT4	1	0.03
KLK10--KRT6B	1	0.03
KLK10--KRT14	1	0.03
KLK1--WFDC2	1	0.03
KLK1--SPINK1	1	0.03
KLK1--SMR3B	1	0.03
KLK1--REG1B	1	0.03
KLK1--REG1A	1	0.03
KLK1--PRR4	1	0.03
KLK1--PRH2	1	0.03
KLK1--LTF	1	0.03
KLK1--KLK2	1	0.03
KLK1--GP2	1	0.03
KLK1--CPB1	1	0.03
KLHL41--TPM3	1	0.03
KLHL41--TNNT3	1	0.03
KLHL41--TCAP	1	0.03
KLHL41--NEB	1	0.03
KLHL41--MYBPC1	1	0.03
KLHL41--MUC7	1	0.03
KLHL41--KRT13	1	0.03
KLHL41--GBP2	1	0.03
KLHL41--FHL1	1	0.03
KLHL41--ACTN2	1	0.03
KLHL40--CKM	1	0.03
KLHL30--CKM	1	0.03
KLHL29--SOD2	1	0.03
KLHL29--CSNK2A2	1	0.03
KLHL20--RPS27	1	0.03
KLHL18|KIF9--KLHL18	1	0.03
KLHDC8A--INPPL1	1	0.03
KLHDC7A--UMOD	1	0.03
KLHDC3--ATP1A2	1	0.03
KLF9--SEMG1	1	0.03
KLF6--SEMG1	1	0.03
KLF6--GPX3	1	0.03
KLF4--SFTPB	1	0.03
KLF4--KRT6A	1	0.03
KLF4--KRT10	1	0.03
KLF2--TG	1	0.03
KLF2--HBB	1	0.03
KLF2--HBA1	1	0.03
KLF17--SNRPD1	1	0.03
KLF13--SFTPC	1	0.03
KLC1|XRCC3--NDE1|MYH11	1	0.03
KLC1--TG	1	0.03
KLC1--KRT13	1	0.03
KLB--SCARB1	1	0.03
KIFC3--TG	1	0.03
KIFC3--CFL1	1	0.03
KIF21B--HBB	1	0.03
KIF21B--HBA2	1	0.03
KIF1C--OBSCN	1	0.03
KIF1C--MYH2	1	0.03
KIF1C--KRT6A	1	0.03
KIF1C--KLK3	1	0.03
KIF1C--GPX3	1	0.03
KIF1C--GAPDH	1	0.03
KIF1C--FLNC	1	0.03
KIF1C--FLNA	1	0.03
KIF1C--EEF1A2	1	0.03
KIF1C--AQP2	1	0.03
KIF1B--ZFP36L1	1	0.03
KIF1B--TG	1	0.03
KIF1A--SMG5	1	0.03
KIF1A--POMC	1	0.03
KIF1A--GFAP	1	0.03
KIF1A--CPA1	1	0.03
KIF1A--CELA3A	1	0.03
KIF13B--TG	1	0.03
KIF13B--PTH	1	0.03
KIF13B--CHGA	1	0.03
KIF13A--TG	1	0.03
KIF13A--CMC1	1	0.03
KIF12--YKT6	1	0.03
KIAA1967--TG	1	0.03
KIAA1967--FLNA	1	0.03
KIAA1967--CLPTM1	1	0.03
KIAA1737--TG	1	0.03
KIAA1671--KRT13	1	0.03
KIAA1598--MBP	1	0.03
KIAA1598--JUND	1	0.03
KIAA1598--HLA-DQA1	1	0.03
KIAA1522--TG	1	0.03
KIAA1522--SMR3B	1	0.03
KIAA1522--SCARB1	1	0.03
KIAA1522--REG1A	1	0.03
KIAA1522--PTPN18	1	0.03
KIAA1522--PRSS1	1	0.03
KIAA1522--PRR4	1	0.03
KIAA1468--TG	1	0.03
KIAA1462--SFTPC	1	0.03
KIAA1456--TG	1	0.03
KIAA1432|ERMP1--GAP43	1	0.03
KIAA1324--SMR3B	1	0.03
KIAA1324--PGA3	1	0.03
KIAA1244--SMR3B	1	0.03
KIAA1217--MB	1	0.03
KIAA1217--KRT13	1	0.03
KIAA1211--SEMG2	1	0.03
KIAA1199--TG	1	0.03
KIAA1199--RNASE4	1	0.03
KIAA1199--CCAR1	1	0.03
KIAA1009--AIG1	1	0.03
KIAA0930--TGFBR2	1	0.03
KIAA0930--KRT13	1	0.03
KIAA0825--ALB	1	0.03
KIAA0556--TG	1	0.03
KIAA0430--SCGB1A1	1	0.03
KIAA0319L--TG	1	0.03
KIAA0195--TG	1	0.03
KIAA0195--DDX39B	1	0.03
KIAA0100--TG	1	0.03
KIAA0100--SFTPB	1	0.03
KHSRP--TG	1	0.03
KHSRP--SFTPA2	1	0.03
KHSRP--SEMG1	1	0.03
KHK|CGREF1--HP	1	0.03
KHK|CGREF1--C3	1	0.03
KHK--BAZ1A	1	0.03
KHK--ALB	1	0.03
KDSR--TG	1	0.03
KDM6B--SRRM2	1	0.03
KDM6B--SFTPA1	1	0.03
KDM6B--NPPA	1	0.03
KDM6B--HBB	1	0.03
KDM6B--HBA2	1	0.03
KDM6B--FCER1G	1	0.03
KDM5C--SERPING1	1	0.03
KDM5C--NOS3	1	0.03
KDM4C--TAGLN	1	0.03
KDM4C--HBB	1	0.03
KDM4B--ALB	1	0.03
KDM4A--PSAP	1	0.03
KDM2A--TG	1	0.03
KDM2A--KRT13	1	0.03
KDELR2--SEMG2	1	0.03
KDELR2--SEMG1	1	0.03
KDELR2--PAX8	1	0.03
KDELR1--PAX8	1	0.03
KCTD3--TG	1	0.03
KCTD13--KCTD13|ASPHD1	1	0.03
KCTD12--SFTPB	1	0.03
KCTD1--UMOD	1	0.03
KCTD1--TG	1	0.03
KCTD1--LTF	1	0.03
KCNT2--CFH	1	0.03
KCNQ1--CDC37	1	0.03
KCNN4--SEMG1	1	0.03
KCNMB1|KCNIP1--TLN1	1	0.03
KCNMB1|KCNIP1--MYL9	1	0.03
KCNMB1|KCNIP1--AZI2	1	0.03
KCNMA1--NDE1|MYH11	1	0.03
KCNMA1--HBB	1	0.03
KCNMA1--ALB	1	0.03
KCNK6--SEMG1	1	0.03
KCNK13--GLRX	1	0.03
KCNJ16--UMOD	1	0.03
KCNJ10--MBP	1	0.03
KCNE2--PGA5	1	0.03
KCNC1--SERGEF	1	0.03
KCNB2--HSD17B13	1	0.03
KAZN--TG	1	0.03
KAZN--LTBP1	1	0.03
KAZN--CELA3B	1	0.03
KAT8--TG	1	0.03
KAT8--SMR3B	1	0.03
KAT5|RNASEH2C--TG	1	0.03
KAT5|RNASEH2C--KAT5	1	0.03
KAT2B--HBB	1	0.03
KAT2A--TG	1	0.03
KANSL1L--MFSD2A	1	0.03
KANSL1--TG	1	0.03
KANSL1--SEMG1	1	0.03
KANK3|RPS28--KANK3	1	0.03
KANK2--TG	1	0.03
KANK2--SEMG1	1	0.03
KANK2--RRP8	1	0.03
KANK2--MYL9	1	0.03
KANK2--FNDC3B	1	0.03
KANK2--CALD1	1	0.03
KANK1--SPRR3	1	0.03
KANK1--PAX8	1	0.03
KANK1--KRT13	1	0.03
KANK1--DOCK8	1	0.03
KANK1--CTSB	1	0.03
JUP--TGM3	1	0.03
JUP--TACSTD2	1	0.03
JUP--SMR3B	1	0.03
JUP--SEMG1	1	0.03
JUP--SBSN	1	0.03
JUP--RHCG	1	0.03
JUP--PPL	1	0.03
JUP--PKP1	1	0.03
JUP--PGC	1	0.03
JUP--MUC7	1	0.03
JUP--MUC5B	1	0.03
JUP--MAPRE1	1	0.03
JUP--LEPREL4	1	0.03
JUP--LCN1	1	0.03
JUP--HSPB1	1	0.03
JUP--GPX3	1	0.03
JUP--EMP1	1	0.03
JUP--EEF2	1	0.03
JUP--DSP	1	0.03
JUP--CKM	1	0.03
JUP--BPIFA1	1	0.03
JUP--AQP3	1	0.03
JUND--SFTPA1	1	0.03
JUND--SEMG1	1	0.03
JUND--PGC	1	0.03
JUND--JUNB	1	0.03
JUND--HBA1	1	0.03
JUND--CUL1	1	0.03
JUNB--TG|SLA	1	0.03
JUNB--SH3BGRL3	1	0.03
JUNB--SEMG2	1	0.03
JUNB--SEMG1	1	0.03
JUNB--PRR4	1	0.03
JUNB--PGA3	1	0.03
JUNB--PCSK7|TAGLN	1	0.03
JUNB--NR4A1	1	0.03
JUNB--MYH2	1	0.03
JUNB--LTF	1	0.03
JUNB--KRT1	1	0.03
JUNB--IQSEC1	1	0.03
JUNB--HFM1	1	0.03
JUNB--FTL	1	0.03
JUNB--FOSB	1	0.03
JUNB--EPAS1	1	0.03
JUNB--DES	1	0.03
JUNB--COL1A1	1	0.03
JUNB--ACTB	1	0.03
JUN--TG|SLA	1	0.03
JUN--SYNPO	1	0.03
JUN--SFTPA1	1	0.03
JUN--SEMG2	1	0.03
JUN--SCGB1A1	1	0.03
JUN--PSCA	1	0.03
JUN--PRR4	1	0.03
JUN--MAMDC2	1	0.03
JUN--KRT6A	1	0.03
JUN--HBA2	1	0.03
JUN--GPX3	1	0.03
JUN--FN1	1	0.03
JUN--EGR1	1	0.03
JUN--CTSB	1	0.03
JUN--CLPS	1	0.03
JUN--B2M	1	0.03
JUN--ACTB	1	0.03
JUN--ACTA1	1	0.03
JTB--HBB	1	0.03
JPH4--GH1	1	0.03
JPH2--NDE1|MYH11	1	0.03
JOSD2--TG	1	0.03
JOSD2--IGFBP5	1	0.03
JMJD8--STUB1|JMJD8	1	0.03
JMJD7-PLA2G4B|PLA2G4B--TG	1	0.03
JMJD7-PLA2G4B|PLA2G4B--SCD	1	0.03
JMJD7-PLA2G4B|PLA2G4B--MYL9	1	0.03
JAK1--SFTPC	1	0.03
JAK1--SEMG2	1	0.03
JAK1--MYH7	1	0.03
JAG2--TG	1	0.03
JAG2--GP2	1	0.03
JAG1--MYH11	1	0.03
JAG1--KRT13	1	0.03
JAG1--CHTOP	1	0.03
IYD--VIM	1	0.03
IYD--TPO	1	0.03
IYD--TIMP3|SYN3	1	0.03
IYD--TAGLN	1	0.03
IYD--STEAP4	1	0.03
IYD--SRRM2	1	0.03
IYD--SPARCL1	1	0.03
IYD--SPARC	1	0.03
IYD--SLC26A7	1	0.03
IYD--SEPW1	1	0.03
IYD--PLXNB2	1	0.03
IYD--PIK3CD	1	0.03
IYD--PDIA4	1	0.03
IYD--PDGFRB	1	0.03
IYD--PAX8	1	0.03
IYD--MKNK2	1	0.03
IYD--MGP	1	0.03
IYD--METTL7A	1	0.03
IYD--IGFN1	1	0.03
IYD--IGFBP5	1	0.03
IYD--IGFBP4	1	0.03
IYD--HSPA8	1	0.03
IYD--GPX3	1	0.03
IYD--GNAS	1	0.03
IYD--FCGBP	1	0.03
IYD--EEF1D	1	0.03
IYD--EEF1A1	1	0.03
IYD--DDX5	1	0.03
IYD--DCN	1	0.03
IYD--CTSB	1	0.03
IYD--COL6A3	1	0.03
IYD--COL6A2	1	0.03
IYD--COL12A1	1	0.03
IYD--CLU	1	0.03
IYD--C1QTNF1	1	0.03
IVNS1ABP--UMOD	1	0.03
IVNS1ABP--SEMG1	1	0.03
IVNS1ABP--PAX8	1	0.03
IVNS1ABP--HBB	1	0.03
IVNS1ABP--HBA2	1	0.03
IVNS1ABP--ELMSAN1	1	0.03
IVL--SFN	1	0.03
IVL--PPL	1	0.03
IVL--LCN1	1	0.03
IVL--KRT6C	1	0.03
IVL--KRT6B	1	0.03
IVL--KRT17	1	0.03
IVL--KRT16	1	0.03
IVL--IFFO2	1	0.03
IVL--CSTB	1	0.03
IVD--IGFBP5	1	0.03
IVD--GPX3	1	0.03
ITPRIP--SFTPC	1	0.03
ITPR3--TNS1	1	0.03
ITPR3--DCN	1	0.03
ITPR2--HBB	1	0.03
ITPR1--TRIO	1	0.03
ITPR1--MYL9	1	0.03
